"STATION","NAME","DATE","ACMC","AWND","PRCP","TAVG","TSUN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-09",,"14.99","0.06",,"  310",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-10",,"15.43","0.00",,"  610",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-11",,"8.05","0.00",,"  582",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-12",,"11.41","0.00",,"  382",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-13",,"18.79","0.10",,"  217",,"    1",,,,,"    1",,,,,,,,"    1","    1","    1",,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-14",,"15.43","0.42",,"    0",,"    1",,,"    1",,"    1",,,,,,,,"    1","    1","    1","    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-15",,"13.65","0.96",,"    0","1.1","    1",,,"    1",,"    1",,,,,,,,"    1","    1","    1","    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-16",,"12.75","0.00",,"   92","1.2","    1","    1",,,,"    1",,,,,,,"    1","    1","    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-17",,"11.41","0.00",,"  566","1.1","    1",,,,,"    1",,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-18",,"13.87","0.00",,"  643","1.1",,,,,,"    1",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-19",,"16.55","0.00",,"  646","1.1",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-20",,"8.28","0.00",,"  649","0.8",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-21",,"10.51","0.00",,"  651","0.7",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-22",,"9.40","2.28",,"    0",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-23",,"12.30","0.20",,"   95","0.8","    1",,,,,,,,,,,,"    1",,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-24",,"17.22","0.22",,"    0","0.2","    1",,,,,,,,"    1",,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-25",,"10.74","0.00",,"  662","0.2",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-26",,"13.20","0.00",,"  410","0.2",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-27",,"14.32","0.00",,"  394",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-02-28",,"9.40","0.00",,"  653",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-01",,"16.55","0.00",,"  674",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-02",,"16.11","0.00",,"  617",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-03",,"12.75","0.00",,"  411",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-04",,"7.61","0.07",,"  385",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-05",,"12.75","0.19",,"    0","0.2","    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-06",,"14.76","0.00",,"  685","0.2",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-07",,"12.75","0.00",,"  663","0.2",,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-08",,"10.51","0.38",,"  185",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-09",,"9.62","0.15",,"    0",,"    1","    1",,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-10",,"6.49","0.09",,"    0",,"    1","    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-11",,"4.92","0.07",,"    0",,"    1","    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-12",,"18.57","0.00",,"  545",,"    1",,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-13",,"12.30","0.00",,"  232",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-14",,"12.08","0.00",,"  491",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-15",,"15.66","0.01",,"  436",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-16",,"11.86","0.24",,"  130",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-17",,"21.25","0.00",,"  159",,,,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-18",,"17.45","0.13",,"  158",,,,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-19",,"11.63","0.12",,"  130",,"    1",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-20",,"10.07","0.00",,"  706",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-21",,"10.96","0.00",,"  265",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-22",,"15.88","0.19",,"    0",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-23",,"16.33","0.00",,"  220",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-24",,"10.07","0.00",,"  650",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-25",,"15.88","0.00",,"  742",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-26",,"12.30","0.00",,"  515",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-27",,"8.28","0.00",,"  748",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-28",,"6.26","0.00",,"  740",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-29",,"13.65","0.19",,"   23",,"    1",,,,,,,"    1",,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-30",,"7.16","0.06",,"    0",,"    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-03-31",,"8.50","0.02",,"    0",,"    1","    1",,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-01",,"6.93","0.11",,"   15",,"    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-02",,"13.65","0.18",,"    0",,"    1",,,,,,,,,,,,"    1",,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-03",,"16.78","0.06",,"    0",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-04",,"16.11","0.00",,"  408",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-05",,"13.42","0.06",,"  260",,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-06",,"10.29","0.08",,"  510",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-07",,"10.96","0.00",,"  360",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-08",,"11.86","0.00",,"  420",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-09",,"17.22","0.11",,"  387",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-10",,"12.75","0.91",,"    0",,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-11",,"13.20","0.03",,"  350",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-12",,"10.29","0.00",,"  313",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-13",,"10.07","0.01",,"  255",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-14",,"14.32","0.27",,"  100",,"    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-15",,"13.20","0.00",,"  235",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-16",,"12.30","0.02",,"  569",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-17",,"16.78","0.02",,"  675",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-18",,"10.96","0.00",,"  809",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-19",,"11.18","0.01",,"  595",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-20",,"12.53","0.84",,"   15",,"    1",,,,,,,"    1",,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-21",,"10.51","0.01",,"  776",,"    1",,,,,,,"    1",,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-22",,"7.61","0.00",,"  600",,"    1","    1",,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-23",,"5.82","0.00",,"  821",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-24",,"10.51","0.00",,"  650",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-25",,"12.30","0.00",,"  818",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-26",,"12.08","0.00",,"  814",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-27",,"10.51","0.00",,"  777",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-28",,"11.41","0.00",,"  635",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-29",,"10.51","0.00",,"  510",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-04-30",,"10.96","0.00",,"  689",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-01",,"12.75","0.00",,"  720",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-02",,"7.83","0.00",,"  844",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-03",,"9.62","0.00",,"  147",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-04",,"14.09","1.05",,"    0",,"    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-05",,"14.99","0.02",,"  503",,"    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-06",,"11.86","0.00",,"  760",,"    1",,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-07",,"16.33","0.00",,"  805",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-08",,"20.36","0.00",,"  775",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-09",,"17.22","0.00",,"  415",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-10",,"25.95","0.05",,"  130",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-11",,"14.54","0.00",,"  805",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-12",,"9.62","0.14",,"    0",,"    1",,,,,,,,,,,,"    1",,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-13",,"11.41","0.85",,"  388",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-14",,"6.71","0.00",,"  210",,"    1","    1",,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-15",,"6.71","0.49",,"  170",,"    1","    1","    1",,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-16",,"13.87","0.65",,"  427",,"    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-17",,"19.24","0.24",,"  430",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-18",,"17.90","0.00",,"  380",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-19",,"9.40","0.03",,"  283",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-20",,"13.20","0.00",,"  130",,"    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-21",,"13.20","0.00",,"  100",,"    1",,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-22",,"8.95","0.00",,"  513",,"    1",,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-23",,"4.70","0.00",,"  458",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-24",,"6.26","0.02",,"  212",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-05-25",,"7.16","0.18",,"  285",,"    1",,,,,,,"    1",,,,,"    1",,"    1",,,,,,,
